Ecological Ceiling,Abreviation,Indicator,Unit,California,Desirable,Overshoot,Average,Year (Measured / Published),Reference,Link,Notes
Air Pollution,Particulate Matter,"1. Percent of air basins in violation of annual average national PM2.5 standard (9 micrograms/m3)",%,60%,0%,60%,60%,2023 / 2025,"1) California Air Resources Board. Air quality and emissions data.",1) https://www.arb.ca.gov/adam/select8/sc8start.php,
Air Pollution,Ozone Pollution,"2. Percent of air basins in violation of the national ozone standard of 0.070 ppm",%,60%,0%,60%,,2023 / 2025,"1) California Air Resources Board. Air quality and emissions data.",1) https://www.arb.ca.gov/adam/select8/sc8start.php,
Biodiversity Loss,Protected Area,"1. Percent protected land / sea area",%,"25.2% / 16.2%","50% / 50%",,503%,2024 / 2024,"1) 30x30 California. (2024). Pathways to 30x30.",1) https://resources.ca.gov/-/media/CNRA-Website/Files/2024_30x30_Pathways_Progress_Report.pdf,
Biodiversity Loss,At-Risk Species,"2. Percent of animal / plant species at risk of extinction",%,"33.1% / 29.7%",3%,,,2022 / 2023,"1) NatureServe. (2023). Biodiversity in focus: United States edition.",1) https://www.natureserve.org/bif,
Chemical Pollution,Toxic Pesticides Applied,"1. Percent of total pesticides applied per year which are categorized as high-risk toxins",%,65%,0%,65%,39%,2022 / 2024,"1) California Department of Pesticide Regulation. (2024). Pesticide Use Annual Report.",1) https://www.cdpr.ca.gov/wp-content/uploads/2024/12/pur_2022_data_summary.pdf,
Chemical Pollution,Toxic Chemicals Released,"2. Percent of toxic chemicals released out of total toxic chemicals produced per year",%,12.7%,0%,13%,,2023 / 2024,"1) U.S. EPA. (2024). Toxics release inventory: California fact sheet.",1) https://enviro.epa.gov/triexplorer/tri_factsheet.factsheet_forstate?pstate=CA&pyear=2023&pParent=TRI&pDataSet=TRIQ1,
Climate Change,Greenhouse Gas Footprint,"1. Greenhouse gas footprint per capita",Tonnes CO2 eq,19.6,0.985,1890%,976%,2019 / 2024,"1) EPA. (2024). Consumption-based GHG emissions for CA 2012-2019.",1) https://pasteur.epa.gov/uploads/10.23719/1531923/CA.html,
Climate Change,Renewable Electricity,"2. Percent of electricity from renewables (solar, wind, and geothermal)",%,38%,100%,62%,,2023 / 2024,"1) U.S. Energy Information Administration. (2024). California state energy profile.",1) https://www.eia.gov/state/analysis.php?sid=CA,
Freshwater Use,Groundwater,"1. Percent of groundwater pumped from basins currently designated as critically overdrafted",%,63%,0%,63%,70%,2014 / 2021,"1) California Natural Resources Agency. (2021). California groundwater update 2020.",1) https://data.cnra.ca.gov/dataset/calgw_update2020/resource/88dbb333-90c3-48f2-a247-7a4f84fce56d,
Freshwater Use,Blue Water Footprint,"2. Blue water footprint per capita",Cubic Meters H20,870.3,494,76%,,2020 / 2024,"1) Ingwersen, W., et al. (2024). USEEIO State Models v1.0.",1) https://cfpub.epa.gov/si/si_public_record_Report.cfm?dirEntryId=360453&Lab=CESER,
Land Use Change,Forest Cover,"1. Percent of land with forest cover",%,27%,37.5%,28%,190%,2022 / 2024,"1) California Natural Resources Agency. (2024). California's Nature-Based Solutions Climate Targets.",1) https://resources.ca.gov/-/media/CNRA-Website/Files/Initiatives/Expanding-Nature-Based-Solutions/Californias-NBS-Climate-Targets-2024.pdf,
Land Use Change,Ecological Footprint,"2. Ecological footprint per capita",Global Hectares,6.68,1.48,351%,,2014 / 2015,"1) Global Footprint Network. (2015). State of the States Report.",1) https://www.footprintnetwork.org/2015/07/14/states/,
Nitrogen and Phosphorus,Nitrogen Leached,"1. Nitrogen leached to groundwater per year",Tonnes Nitrogen,380000,123000,209%,433%,2005 / 2016,"1) Tomich, T., et al. (2016). The California nitrogen assessment.",1) https://asi.ucdavis.edu/sites/g/files/dgvnsk5751/files/inline-files/Executive%20Summary%20Layout_FINAL_reduced.pdf,
Nitrogen and Phosphorus,Eutrophication Potential,"2. Eutrophication potential footprint per capita",Kg N eq,219.6,29,657%,,2020 / 2024,"1) Ingwersen, W., et al. (2024). USEEIO State Models v1.0.",1) https://cfpub.epa.gov/si/si_public_record_report.cfm?LAB=CESER&dirEntryID=360453,
Ocean Acidification,Ocean pH,"1. Change in pH compared to preindustrial levels",pH,0.21,<0.11,91%,305%,2015 / 2020,"1) Osborne, E., et al. (2020). Decadal variability in ocean acidification in the California Current.",1) https://doi.org/10.1038/s41561-019-0499-z,
Ocean Acidification,SO2-eq Footprint,"2. Acidification potential footprint per capita",Kg SO2 eq,28.5,4.6,520%,,2020 / 2024,"1) Ingwersen, W., et al. (2024). USEEIO State Models v1.0.",1) https://cfpub.epa.gov/si/si_public_record_report.cfm?LAB=CESER&dirEntryID=360453,
Ozone Depletion,Ozone-Depleting Substances,"1. Compliance with Montreal Protocol on Ozone-Depleting Substances",Yes/No,Yes,Yes,,0%,2014 / 2014,"1) California Air Resources Board. (2014). Ozone-depleting substances projects.",1) https://ww2.arb.ca.gov/our-work/programs/compliance-offset-program/compliance-offset-protocols/ozone-depleting-substances-projects,
Ozone Depletion,Ozone Layer,"2. Global average thickness of ozone layer",Dobson Units,284,>276,,,2020 / 2022,"1) World Meteorological Organization. (2022). Scientific Assessment of Ozone Depletion: 2022.",1) https://csl.noaa.gov/assessments/ozone/2022/downloads/2022OzoneAssessment.pdf,
